Name,Reviews,Rating,Address,Cuisine,State
Charles Street Dinner House,549,4.5,5043 Hwy 140 and 7th St,American (New),California
The Cabin,10,4.5,32754 Rd 222,Burgers,California
Baker Mountain House,17,5.0,48711 CA-245,Burgers,California
Parkside Pizza,94,4.0,Yosemite View Restaurant & Lounge,Pizza,California
The Grizzlies Den,25,5.0,3125 Triangle Rd,American (Traditional),California
Mountain Tripper Cafe & Tea House,40,4.5,41781 Tollhouse Rd,Coffee & Tea,California
Ducey's on the Lake,583,4.0,39255 Marina Dr,Seafood,California
Shaver Lake Pizza,357,4.0,41820 Tollhouse Rd,Pizza,California
Pinehurst Lodge,61,4.5,53783 N Hwy 245,American (New),California
The Oasis,30,4.5,2675 HIghway 140,American (Traditional),California
Restaurant At Convict Lake,249,4.5,2000 Convict Lake Rd,American (New),California
Don Fernando's,98,4.5,29533 Auberry Rd,Mexican,California
The Lift,121,4.5,2587 Hwy 158,Bars,California
Cardinal Café,21,4.5,321 Cardinal Rd,Cafes,California
Oakhurst Grill and Whiskey 41 Lounge,331,4.0,40530 Hwy 41,American (New),California
Nativo's,32,4.5,711 Lucky Ln,Italian,California
Smokehouse 41,723,4.5,40713 Hwy 41,Barbeque,California
1850 Restaurant,696,4.0,5114 Hwy 140,American (Traditional),California
Savoury's,448,4.0,5034 State Hwy 140,American (New),California
Buckhorn Saloon,40,4.0,32992 Rd 222,American (Traditional),California
Balanced Rock Grill & Cantina,74,5.0,2588 Hwy 158,Mexican,California
Evergreen Lodge Restaurant and Tavern,82,4.0,33160 Evergreen Rd,American (Traditional),California
Genas Sierra Inn and Restaurant,82,4.0,37692 E Kings Canyon Rd,American (Traditional),California
Lucky Buck Cafe,125,4.5,7647 State Highway 120,Cafes,California
Wagner's Mammoth Pool Resort: Cafe,13,3.5,Mammoth Pool Rd,Cafes,California
Wild Fig Kitchen,383,4.5,35300 Hwy 41,Breakfast & Brunch,California
Bear Mountain Pizza,151,4.0,31074 E Kings Canyon Rd,Pizza,California
Matsumoto Samurai's Kitchen,51,5.0,49777 Road 427,Food Trucks,California
Vintage Steakhouse,102,4.5,711 Lucky Ln,Steakhouses,California
Hungry Hut,357,3.5,42008 Tollhouse Rd,Burgers,California
Alpine Deli and Pizza,96,4.0,2784B Boulder Dr,Delis,California
Fish Camp General Store,79,4.0,1191 Hwy 41,Delis,California
SKADI,422,5.0,94 Berner St,Modern European,California
Casa Velasco Mexican Restaurant,246,4.5,54311 Rd 432,Mexican,California
Blue Heron Restaurant & Yosemite Grill,102,4.0,30250 Yosemite Springs Pkwy,American (Traditional),California
